pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
7.3,0.25,11.3,18300,450,32.71,2.19,2.7,0.91,10.07,0.47,61.02,4.28,1.81,0.24,,10,180,21.21212121
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,365,40.1734104
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,395,18.70967742
7.87,2.6,37.8,78900,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,11.54
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,30,3.076923077
7.7,0.72,,,450,56.29,0.56,3.02,,6.6,1.485,43.4,186.79,20.9,0,70,0.5,1,6.666666667
5.33,0.076,7.03,4390.6,400,54.98,1.5,2.24,13.28,10.41,8.89,28,2.01,7.21,0.48,70,1,150,14.41
7.6,,,,500,9.06,"	0.82",0.89,4.89,11.33,,84.34,37.55,57.1,0.127,70,5,0,0.272496075
4.29,,16.34,54984,300,8.47,,1.08,6.3,9.75,,35.71,9.4,3.28,0,60,5,42,40.76
3.63,0.22,2.88,1000,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,0.5,0.33,,10,180,28.57142857
8.03,0.083,10.36,20600,600,,,,,10.05,2.85,29.67,36.91,1.97,0,70,0.4,14,38.27539145
5.6,,10.4,32500,700,75.4,0,3.7,13.9,10.4,,71.7,,4.7,0,50,3,30,63.6924149
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,0,35.05747126
4.29,,16.34,54984,300,8.47,,1.08,6.3,9.75,,35.71,9.4,3.28,0,60,5,60,44.61
7.44,0.2677,,49080,500,66.15,0.88,2.72,30.25,10.02,1.68,,64.15,1.93,0,60,5,7,-2.781670663
6.8,,,28890,,75.84,0.15,2.53,19.93,9.98,,,790,2.1,0,70,1,45,32.4120603
